gene,P1T,P6T,P14T,P15T,P16T,Cont-19,Cont-21,Cont-32,Cont-51,Cont-54,Cont-70,Cont-78,P3T,P10T,P13T,CONT-34
CACHD1,57,115,9,53,6,22,206,123,409,497,111,162,125,107,7,216
PSTPIP1,975,3056,2089,1861,1522,550,1347,1377,233,77,666,388,1978,1255,852,357
PILRA,1348,3185,2460,3221,521,572,1051,1537,436,188,565,377,2189,1926,3455,1529
CLDN1,1033,225,277,1205,542,2339,4360,3615,157,1985,450,1860,874,364,342,2334
FLJ16779,0,0,0,5,0,9,212,11,1,2,7,160,14,4,3,14
SCPEP1,1900,10219,7065,4592,1391,1040,1776,2248,1628,884,1399,1059,4465,3759,10227,3285
SNX18,807,1914,1201,1797,696,429,467,1157,576,549,302,412,1635,1121,2143,626
MGP,1584,2214,93,1578,37,260,2655,5210,17745,7913,3868,377,1768,315,15,5312
R3HDM1,610,1506,1209,1216,729,413,639,757,754,384,402,437,1027,1076,802,487
ENO4,11,8,4,7,4,15,45,15,12,3,6,15,8,4,2,14
LINC00528,140,397,185,159,107,74,97,128,40,19,41,86,243,67,70,34
PDGFB,467,854,798,397,84,359,815,3369,2266,1568,584,291,725,478,491,2653
TDP1,368,1125,851,917,584,366,632,526,193,212,336,314,688,547,515,338
RNASEL,684,1264,1132,1022,383,320,757,649,287,119,390,546,825,638,894,222
DAB2IP,459,857,218,559,454,598,1560,1358,3235,1416,771,443,1207,173,79,1302
KCNC3,274,775,402,815,67,63,245,450,134,63,156,107,1201,460,664,204
RP11-477D19.2,30,82,72,41,27,8,28,39,20,7,11,17,39,23,40,18
TRAV20,3,65,43,22,121,10,9,4,2,0,12,3,15,28,19,0
ATP1B2,34,50,4,20,2,2,77,182,580,25,92,10,54,2,6,110
MYOCD,9,21,0,3,0,0,16,23,180,391,22,3,28,1,0,72
ANKFY1,1342,2964,3227,2936,1398,922,1401,2080,1422,654,1102,997,2383,1816,2641,998
KDSR,1018,1688,1195,2014,414,1153,3897,1900,1440,1512,1044,1052,1654,933,1051,1856
EBF2,59,88,3,40,1,4,116,138,1599,175,282,4,58,0,1,148
RP11-530C5.4,33,56,18,28,18,2,11,11,6,2,6,0,14,10,7,8
SFPQ,7603,9474,9338,9311,4647,4371,10508,26848,16493,15672,9364,9962,7146,6296,6133,13527
GNG12,1665,2207,365,1718,321,1630,4500,2284,2771,1603,1090,3229,1827,387,236,1745
RP11-876N24.4,252,267,143,254,37,43,176,149,43,20,39,60,185,153,137,75
RNU12,107,75,41,82,16,10,42,16,3,2,9,4,9,78,7,7
DUS2,249,620,476,552,199,216,496,285,159,70,182,170,437,315,637,180
