gene,P1T,P6T,P14T,P15T,P16T,Cont-19,Cont-21,Cont-32,Cont-51,Cont-54,Cont-70,Cont-78,P3T,P10T,P13T,CONT-34
OSBPL2,1064,1849,1478,1733,973,1229,1852,1537,1031,568,852,829,1779,1084,1030,891
AP000997.3,0,13,0,4,0,1,11,7,0,0,4,5,0,0,1,2
NATD1,238,602,431,383,165,149,453,556,397,420,242,193,625,175,314,353
IGHV1OR16-3,2,30,0,0,1,6,9,0,0,0,1,1,17,1,1,0
HIST2H2AA4,990,1686,419,1105,479,372,1934,373,158,269,337,390,476,607,284,510
TET1,52,173,131,66,126,34,47,73,109,14,47,110,104,71,16,16
bP-2189O9.3,3,8,2,3,2,1,11,10,1,2,4,2,3,3,2,3
NDFIP1,2509,5644,3221,4674,1620,2903,4399,3015,2779,1774,1628,1938,4531,2868,3500,2944
CTD-3214H19.6,29,33,33,27,6,21,27,28,4,2,15,25,35,15,20,8
RP11-439A17.10,1,8,1,5,1,1,0,4,1,11,1,3,0,3,0,1
SLC26A4,25,21,23,53,41,20,24,11,93,35,24,28,38,9,8,15
SH3GL3,2,3,0,4,2,2,5,2,0,0,2,14,1,4,0,1
DPP8,1188,2352,2126,2373,1403,1160,1322,1583,2314,941,872,1124,1921,1404,1625,717
AC116366.5,7,7,12,11,6,2,0,6,4,9,2,1,9,2,2,2
RP11-20G13.2,0,12,5,1,0,0,14,2,0,4,2,27,7,0,11,10
RP11-21L1.1,8,11,7,12,6,1,4,13,1,5,4,9,12,7,7,6
ZNF581,269,566,247,284,137,689,883,321,129,158,116,338,555,252,290,229
METTL2A,201,464,288,392,216,461,546,225,201,185,188,329,371,311,261,289
GORAB,351,554,462,627,235,337,496,365,386,164,194,395,355,347,432,190
RP11-632C17__A.1,741,1315,800,1319,812,1033,2139,820,806,430,434,1196,1015,670,568,668
RP11-206L10.9,102,147,110,124,79,101,85,150,46,31,94,63,105,99,85,38
SPTBN5,260,560,279,332,140,151,354,408,608,343,236,90,266,194,334,170
TPD52,618,1123,575,785,933,1044,1488,560,321,680,501,704,784,369,340,711
NAA35,439,661,546,674,394,338,701,724,675,414,334,316,540,434,400,425
LINC00909,231,517,466,495,140,164,746,339,174,101,186,263,422,197,355,207
RNF2,368,692,463,630,210,369,460,469,729,451,264,361,431,384,558,376
DSCAM,0,0,0,1,2,0,3,0,6,67,0,2,2,4,0,11
VASP,1671,4909,4052,5239,1482,2164,4487,4108,3017,2004,1607,1080,5040,3446,4872,3186
RP11-269M20.1,32,58,36,54,26,47,119,38,32,14,27,39,33,46,40,35
LINC00327,7,27,3,19,3,0,15,11,12,0,3,2,7,6,9,4
AC004967.7,37,56,30,35,27,59,54,34,12,8,11,25,49,39,30,15
UNQ6494,6,50,39,6,21,30,27,20,0,0,0,4,7,12,11,5
GPX7,165,708,173,229,177,444,889,218,306,68,143,111,465,156,89,268
TIMM23B,310,584,534,546,244,229,469,457,413,240,217,237,411,397,325,262
TOR1A,655,1789,1271,1533,684,665,1841,950,1167,538,599,397,1331,970,1133,878
RP11-726G1.1,30,44,148,114,138,26,51,52,58,75,36,22,68,32,23,31
HGSNAT,1935,2706,2447,4250,583,1371,3983,3312,2948,1318,1476,1905,2267,2122,2281,1836
RBSN,581,1092,936,1034,418,339,594,822,872,425,481,378,788,673,784,494
FAM66C,60,114,50,71,31,49,90,101,67,26,68,77,92,70,17,26
TNPO1,2724,2975,3414,3165,1711,2340,2182,3733,4247,3116,1583,2453,2854,2142,2907,1660
KLF13,2146,4452,6508,3002,1996,1672,2350,4691,5364,1192,2243,1111,6626,2781,3651,1989
SNRPF,462,1184,895,959,518,1123,1536,642,599,477,494,521,812,820,639,730
HNRNPCP2,340,661,475,602,338,368,753,499,376,376,203,334,415,388,354,506
MEG9,3,1,0,5,7,6,1,5,2,19,0,0,0,5,1,3
LINC00479,0,2,0,5,2,5,10,8,0,0,2,2,14,1,0,13
UBE2J2,477,1187,781,844,382,673,1441,806,581,434,434,499,1086,615,753,903
CHST9,233,48,38,264,1,2,69,464,147,42,98,72,182,6,0,313
ZIC2,1,0,0,3,17,1,1,0,0,1,0,11,0,20,0,0
MED7,406,771,396,534,220,373,894,337,158,132,225,242,476,332,335,325
CAPN8,8,25,12,17,16,13,10,27,5,1,5,5,34,12,2,13
YTHDF3,1570,2631,2080,2801,1402,772,1580,3838,2662,2195,1134,1971,2083,1393,2335,2118
RP11-288C18.1,37,71,58,51,39,52,43,73,137,27,35,74,59,64,44,15
TMEM72-AS1,12,27,13,4,0,8,29,14,1,5,10,18,7,6,11,12
RP11-258C19.7,248,347,222,294,116,209,371,329,260,66,173,111,167,139,156,189
RP11-415I12.2,3,3,11,1,9,11,0,1,5,1,3,5,8,20,1,0
PSME4,2143,5041,5488,4046,1959,1200,2279,4838,2584,2404,1585,1750,3100,3039,3395,2493
CA8,21,24,7,20,11,3,16,57,39,112,9,49,237,6,3,71
ASPHD1,50,202,11,101,74,196,621,164,14,53,111,61,228,281,13,200
TPH2,3,16,3,5,15,3,5,6,2,3,4,7,7,5,1,2
AC007292.6,21,19,35,14,5,14,32,18,8,0,4,15,19,5,37,15
NAT6,153,279,232,227,107,182,299,170,161,36,94,112,243,166,99,92
RP11-486A14.1,7,4,1,3,4,11,5,6,2,1,4,14,6,7,2,2
PHPT1,1630,1821,925,1818,813,2623,6226,1298,671,300,696,932,1856,1280,702,1214
RPS26P8,75,215,579,511,241,703,797,361,262,74,62,533,427,261,191,296
RP11-706O15.7,141,60,0,27,35,301,159,105,32,109,47,5,278,18,7,44
PPP2R3B,117,204,128,154,77,144,278,238,93,56,83,154,183,183,118,127
PES1,943,1816,1243,1714,767,2000,3566,1233,784,643,704,1050,2069,1325,944,1195
KNSTRN,173,518,301,312,225,297,635,177,155,124,114,208,258,274,385,178
GOLGA6L22,6,6,8,8,2,1,15,11,4,2,6,6,9,5,3,10
ITGB1BP2,14,28,34,21,16,38,48,27,16,13,13,13,11,19,16,10
SLC12A7,2136,4625,2045,2796,1350,4102,5938,2901,1347,1202,1398,2654,3186,2792,3160,3404
RP11-23F23.3,3,8,7,7,3,0,3,2,18,9,3,4,4,3,3,4
MTX1P1,118,325,153,214,95,250,539,146,87,62,98,154,230,130,169,202
ADAM33,0,10,18,35,1,0,5,7,106,4,4,0,9,0,1,4
HSPA5,21418,30339,16347,42446,11035,18936,48953,17693,12242,14872,10769,18501,18379,14290,15651,26236
JAKMIP3,12,11,17,26,6,11,16,23,38,9,8,11,16,12,11,5
RP11-386I14.2,12,8,0,1,0,0,16,13,3,3,4,4,6,1,0,4
PELI2,377,415,395,706,44,88,187,727,775,704,241,237,540,263,413,211
FBXW10,6,4,4,3,8,6,17,5,7,8,3,12,8,7,3,0
RP11-170N16.3,28,39,28,21,9,7,22,34,9,4,13,30,27,8,35,11
CRYM,124,145,13,153,2,37,137,107,17,34,69,166,123,48,2,160
RERG,1352,2517,98,780,28,304,665,1060,1095,237,564,2212,819,79,6,546
PYGB,947,2478,2296,2143,1955,3182,2743,1718,1228,589,852,1060,4725,1624,2063,1577
ALYREF,470,1222,821,1132,483,704,1305,841,810,516,421,358,734,773,591,992
RP11-727F15.13,5,10,7,4,0,1,5,13,4,0,5,4,0,7,5,22
RP4-565E6.1,41,44,3,7,3,10,40,45,7,5,9,33,17,12,0,26
MED14OS,10,38,14,31,2,8,32,24,26,8,26,7,30,18,17,32
RHOA-IT1,7,3,13,13,2,3,3,16,10,0,3,3,5,10,11,0
CCT5,2058,5511,3933,5257,3011,5023,7796,3387,3333,4217,1949,3192,3692,5668,4180,4839
AC104654.2,5,27,4,12,125,191,8,5,1,0,22,13,2,1,6,15
ERICD,10,36,48,28,18,12,42,44,16,10,10,14,12,17,5,58
SYDE2,124,57,33,35,11,13,53,90,41,46,44,105,59,12,11,13
PHKG2,620,1382,1015,1132,467,652,1511,845,395,259,464,583,958,796,762,879
DPP3,409,1536,1246,1195,605,1260,2040,623,475,198,411,490,1079,1013,1039,596
FAM53A,10,30,16,21,16,14,34,31,19,18,9,18,17,25,26,27
ZNF204P,371,240,61,232,27,23,596,499,136,83,130,61,344,58,26,328
RP11-16E18.3,5,20,13,16,14,4,20,31,13,5,12,11,9,5,14,15
CTC-487M23.6,12,14,23,13,5,8,6,20,19,20,6,12,10,7,16,14
RP4-751H13.5,22,31,33,32,15,14,18,25,9,2,11,26,21,12,10,14
GGPS1,621,1331,807,1143,490,846,1555,791,740,429,437,549,649,629,740,754
QSOX2,339,647,556,572,460,312,566,584,408,228,348,224,572,491,288,319
PPP1CC,2692,7017,4191,4657,3966,3354,4406,3277,3502,2589,1722,2819,3959,3190,3907,2886
AGAP3,863,2411,1429,1888,466,1067,1857,2776,1888,1102,739,821,1826,1447,2242,2409
MTHFD1L,601,1229,822,1477,365,789,1377,743,476,388,311,522,773,944,738,651
PCBP2-OT1,26,19,15,20,14,6,21,38,13,25,8,17,9,7,4,6
RP11-631F7.1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CH507-9B2.3,60,128,77,85,50,79,173,101,33,24,48,78,160,118,110,67
ENO2,3133,5052,1626,6639,2801,11606,6077,3520,1296,440,2504,8360,5273,4643,498,1932
IGLV7-46,47,220,0,9,11,129,51,14,4,5,5,91,622,39,2,30
MFSD2B,22,69,31,43,17,29,33,61,14,6,12,11,32,32,31,30
FBXW5,1179,3033,2099,2440,1151,1482,4821,1733,1291,645,871,1017,3254,1892,1913,1728
GORASP2,790,2287,1638,2198,1339,2458,2838,1380,1600,963,959,1284,1919,1699,1458,1655
RP1-101A2.1,3,19,13,15,8,12,6,12,22,7,5,5,12,4,5,13
SEC11C,1095,2629,1253,1905,1348,1721,2841,882,714,420,746,1045,2369,1016,1008,1041
AC013268.3,4,7,3,4,2,2,20,6,2,2,2,5,3,67,1,0
ENO1-IT1,35,29,19,25,12,13,38,14,2,3,5,15,10,3,7,5
EVI5L,154,378,289,346,164,111,270,256,319,169,161,86,451,293,259,214
SAP30L-AS1,6,15,16,7,4,7,6,11,6,1,5,12,30,5,5,3
TMED4,2840,4829,2546,4208,2111,4982,7041,3518,1958,963,2069,3787,4105,3212,1837,2342
CTD-2218G20.1,2,5,1,3,0,2,13,3,1,1,4,1,5,0,2,1
CUZD1,55,67,98,65,11,13,98,56,45,21,16,35,50,25,49,11
BRWD3,967,1114,1379,1669,966,463,509,1562,1078,709,745,813,1205,967,1110,460
SLC20A2,454,840,828,738,216,271,628,677,916,709,402,405,730,498,527,451
SNORA53,11,13,9,7,5,5,20,14,5,3,9,13,1,8,2,2
EIF2B1,1131,2347,1635,2219,1010,1366,3022,1413,1152,440,867,1157,1860,1357,1275,957
RP3-352A20.1,4,9,3,11,1,3,4,5,4,0,1,0,2,0,6,2
STAT3,3806,8235,6911,10005,4065,4274,6562,9133,6831,7702,3829,2846,6623,5689,5490,6677
UBE2Q1,1520,4416,2376,3443,1500,1932,3910,2210,1862,1128,1116,1451,2664,2056,1762,1825
CTD-2047H16.3,5,7,3,1,8,7,3,6,4,0,1,5,11,4,5,0
ZNF337,1295,2003,1269,1867,778,1263,1830,1836,937,467,798,1864,1467,920,855,1031
RP11-968O1.5,14,14,13,9,6,17,11,24,12,8,13,25,29,12,6,2
TRPA1,59,52,3,19,10,48,107,43,2,24,8,115,131,8,0,49
RP11-109N23.4,6,20,4,6,3,2,11,10,2,7,5,6,3,3,4,11
GP6,5,9,3,2,0,10,14,21,7,2,3,4,22,8,2,5
CTD-2306A12.1,6,7,8,16,8,5,17,8,3,6,7,24,4,9,6,6
YLPM1,1256,2383,2434,2308,1175,600,1186,2432,1906,1149,1128,907,2328,1760,1630,1116
PROM2,36,131,36,52,250,1830,71,50,36,4,14,383,189,28,12,18
FBXO11,1908,3545,2775,3231,1353,1152,2298,3776,2535,2661,1362,1666,1911,1796,2182,2206
C17orf51,45,76,55,57,21,63,45,88,130,68,26,44,88,50,100,40
PLA2G4C,338,778,276,308,113,284,472,323,574,274,247,591,523,168,777,570
MAN1A1,1525,3040,2839,3408,1638,1618,1843,2310,1587,2353,1907,1105,4476,1847,3500,1170
GUSBP9,72,79,75,58,35,43,43,59,48,18,36,60,72,48,31,21
DEPDC7,272,312,112,302,143,362,654,168,43,89,210,370,360,118,109,107
C21orf91,368,1039,860,578,703,175,505,740,528,390,427,399,734,390,504,386
GBA3,1481,542,40,86,4,62,1639,1241,105,179,110,322,285,6,12,1142
IKZF5,614,789,705,778,347,224,395,1055,653,708,405,553,564,338,570,573
TBCB,945,2289,1250,1850,780,2090,2768,1422,1291,537,705,753,1645,1186,1015,1230
RP11-134E15.2,54,76,38,70,45,42,65,52,47,30,36,19,72,46,33,24
ATG9B,108,97,25,56,131,377,49,43,12,4,74,235,52,32,12,5
AF131215.2,73,66,128,69,35,41,44,53,60,13,69,65,123,41,51,26
FNTAL1,19,31,18,18,3,1,19,23,29,15,8,15,11,8,10,15
NEURL1,91,78,63,75,6,1,21,138,48,3,21,2,32,50,40,23
MIR130B,14,16,4,7,5,8,31,8,2,3,4,12,6,4,1,7
CHRD,40,387,8,30,846,192,1279,667,358,117,113,790,446,38,4,359
MASP1,444,475,110,92,408,286,572,1127,81,113,371,103,619,11,2,815
RP11-736N17.8,2,2,1,5,0,0,4,8,1,1,6,7,12,0,0,3
UVSSA,645,1439,1161,857,469,477,583,1496,439,216,590,726,819,791,923,600
AC138430.4,6,13,3,6,5,5,6,16,8,8,2,11,8,8,5,4
UXT-AS1,4,11,3,14,1,4,8,13,8,2,3,16,10,3,7,5
OGFOD2,55,103,44,69,49,67,84,45,24,10,40,39,65,45,29,17
IL17REL,2,13,16,5,8,18,4,9,2,1,3,2,1,24,4,0
RP11-759A24.1,6,3,0,4,1,3,4,1,1,0,1,3,14,1,0,0
CAMKK1,474,492,494,803,110,650,645,511,640,396,218,512,703,407,578,356
VCPIP1,877,1853,1576,1326,1024,511,1092,1305,985,1050,519,1106,1476,1035,1221,557
SAXO1,4,4,0,4,3,4,20,5,0,0,4,2,1,1,0,0
RPL23AP82,436,607,493,523,171,760,1002,395,406,152,224,373,388,375,414,275
ATF5,486,1488,1004,1984,730,1181,1327,1495,513,232,487,369,1069,1951,1979,1853
TSPAN14,2151,6937,7236,5207,2260,1472,3203,4149,5766,3149,2147,1159,5327,3486,5076,2489
ALOX12-AS1,165,279,181,205,80,109,296,222,77,52,90,154,250,114,132,91
RP11-367J11.3,14,29,12,19,3,6,3,6,7,6,4,12,10,6,3,7
CSPG4P11,26,11,6,12,6,47,27,20,13,3,5,43,35,21,1,2
XXbac-BPG248L24.12,18,11,20,5,0,20,32,16,26,0,9,6,6,28,27,70
RP11-434E6.5,10,3,1,11,4,6,15,16,0,0,15,9,12,0,0,4
ATOX1,797,2453,1387,1106,688,958,2919,995,702,347,585,596,1399,1066,1494,1086
MAP3K3,1602,3433,2713,3217,910,623,1310,2293,2404,1943,1115,589,2509,1909,2716,1168
TMEM189,313,865,679,843,347,806,990,632,725,450,305,318,726,660,580,583
ARAF,1212,2554,1974,2517,899,1086,2570,2148,1334,763,1057,873,1987,1461,1529,1380
ITPR1-AS1,11,34,11,52,6,14,42,9,7,2,10,7,9,12,12,2
ZNF341-AS1,3,6,2,14,0,2,5,4,1,4,4,1,1,0,1,11
RPL21P120,63,75,50,65,28,38,126,51,42,30,37,41,61,43,25,44
HYMAI,16,9,9,14,2,0,25,16,11,9,6,2,1,3,3,9
RAET1K,6,9,11,7,14,15,12,18,0,4,6,25,7,7,6,9
SERPINF1,1345,5634,4033,3655,181,1121,2825,1432,377,198,1551,676,1174,1006,1687,2315
RP1-242N11.1,1,0,0,4,7,1,5,0,0,1,0,30,5,1,0,1
MRPL48,381,740,421,576,269,649,1525,421,269,130,255,432,630,320,305,339
CTD-2083E4.7,0,2,0,5,1,11,10,0,0,0,3,0,0,2,0,0
PCTP,527,1096,1010,1108,376,770,980,660,446,370,388,631,739,647,848,476
PRDM4,783,1571,1468,1699,723,984,1991,1536,1278,896,647,1176,1685,1201,1075,912
CTD-2008E3.1,8,13,9,23,1,2,6,0,6,6,3,7,4,5,7,5
SSBP1,1507,2791,1731,2583,1292,2765,4570,1683,1315,843,1227,1870,1855,2219,1462,1518
GTF2H2,554,576,666,800,377,826,914,451,279,192,297,419,670,786,437,282
NCALD,275,466,622,387,571,455,561,657,1184,160,224,353,661,279,153,402
ADAMTS7P4,12,39,23,16,22,14,48,8,33,9,14,24,13,12,5,13
PMS2CL,361,576,616,511,349,520,868,508,372,206,320,569,507,438,371,333
NUDT16P1,201,260,299,180,58,228,288,144,24,24,46,284,274,181,230,78
AP1M2,75,108,13,31,24,187,395,75,8,29,26,251,457,10,5,56
ARL10,800,831,425,316,217,821,254,641,466,140,375,1042,778,200,194,227
NSUN5,416,862,608,689,287,786,1162,423,178,87,232,528,744,928,453,242
ANKRD53,28,26,4,18,4,11,19,38,9,16,16,15,57,7,2,36
ALKBH6,200,336,216,243,171,213,413,245,73,28,144,118,242,157,135,65
ZNF24,2304,3026,2591,3809,1183,1043,2834,3566,3244,2274,1563,1802,2887,1637,2330,2307
LINC01474,2,15,13,3,2,1,14,13,7,3,9,2,5,7,9,20
SRSF5,11480,20496,12153,17846,5592,3907,11863,24951,13910,10789,10811,6898,11481,8182,7175,7591
RP11-260M2.1,15,32,39,40,14,23,35,20,10,11,15,20,31,12,29,15
PCDHA3,4,1,0,9,0,1,2,6,23,10,6,0,24,1,1,3
EIF4G3,1636,3959,3015,4520,1786,1088,2237,2653,3474,2100,1408,1426,3301,2960,2813,1522
NRAV,191,254,94,224,141,355,678,124,37,74,86,279,346,128,74,157
RP11-567M16.6,170,206,67,133,40,74,315,114,95,45,78,88,124,54,42,90
PSMC1,1509,3479,2331,3374,1336,1521,3626,2419,2221,1833,1705,1186,2493,1691,2089,2225
SLC10A5,15,18,7,6,5,11,36,22,6,3,2,8,20,4,4,13
C1orf74,76,174,89,126,26,70,244,97,21,23,36,73,142,92,112,63
RP11-553P9.2,3,9,5,15,2,1,7,3,2,0,3,4,1,3,1,1
NIP7,296,735,681,686,472,450,834,564,659,657,337,422,720,486,574,533
FAM90A1,11,19,15,14,8,41,92,14,2,6,6,23,42,30,13,26
CDC37L1-AS1,15,34,25,26,14,11,78,26,13,7,16,12,20,11,9,17
RP11-157G21.2,35,57,45,41,23,19,36,31,24,33,23,29,47,35,24,12
NHEJ1,7,21,10,19,7,9,24,12,10,7,9,4,61,15,4,11
RP11-578O24.2,0,7,4,1,4,7,11,2,0,0,1,5,2,0,1,5
RP11-111M22.4,15,18,9,12,3,12,20,24,3,2,17,6,16,2,6,9
AC005785.5,4,11,13,8,2,3,4,16,3,3,5,0,6,7,9,2
KLK11,0,0,1,1,0,0,176,0,0,0,0,0,1,5,0,0
RP11-69L16.5,54,96,57,70,32,112,152,55,51,31,34,40,109,44,33,35
TBC1D3P2,6,16,7,15,6,20,29,9,2,5,5,15,7,9,8,3
HOXA10-AS,17,36,9,25,0,65,214,30,22,17,23,23,38,147,4,59
PRICKLE3,104,260,108,151,85,134,170,120,94,94,64,115,198,166,128,65
EIF4BP6,454,682,478,669,349,477,492,394,341,288,228,496,845,372,328,184
COL6A4P2,17,68,21,30,19,4,28,26,33,2,12,13,22,14,13,14
MTHFD2P1,66,4,8,2,1,1,71,53,0,0,3,41,17,4,2,65
RP11-286H14.4,25,56,36,39,16,24,46,43,27,11,13,15,47,37,20,27
PTAR1,2587,2614,2318,2651,1195,1097,2574,2920,2168,1068,1079,1332,2802,1496,1582,824
SRD5A3-AS1,12,31,17,17,8,6,29,20,26,10,9,15,18,10,7,8
MPZL3,365,912,938,555,567,83,953,1191,399,375,953,387,389,344,304,614
ALMS1-IT1,34,52,23,34,14,25,21,52,23,11,16,34,27,18,8,28
ACAT2,465,926,582,678,439,372,1839,610,367,362,344,403,512,635,383,734
VARS,575,1599,1411,1369,641,1375,1748,1022,707,413,512,773,1575,1710,1138,957
POLR3C,620,1373,955,1110,363,1056,1841,754,690,520,369,733,912,627,808,565
GS1-124K5.4,22,48,12,20,10,63,79,15,3,6,21,32,39,23,17,12
RPSAP61,56,137,88,86,45,127,173,80,59,46,44,55,96,75,54,47
DYRK1A,1865,3882,2545,3125,1626,1150,1753,3552,3407,2503,1461,1413,2186,1599,1628,2102
APPBP2,952,1660,1151,1427,738,611,1266,1200,1609,1300,607,952,1096,849,1054,837
HNF1A,142,109,15,35,74,302,673,196,10,35,93,170,634,32,2,147
RPL12P38,98,172,94,181,91,96,260,122,65,36,47,84,108,109,92,58
IDH1-AS1,3,7,5,10,5,8,11,0,2,0,4,3,11,5,10,6
RP11-195E2.1,23,26,25,26,32,10,150,146,1,27,27,27,41,75,0,43
SLC22A17,70,179,26,53,109,208,155,333,121,49,68,94,390,17,2,69
FNBP4,3366,5607,4781,4884,2910,2844,4237,7168,3945,3141,2399,4416,3932,3453,3010,2439
SC5D,565,1323,604,1082,306,223,658,1448,919,322,778,521,758,498,637,732
RP6-159A1.2,18,44,19,40,13,26,37,30,26,9,20,23,35,19,11,19
COL4A3BP,1119,2007,2200,2085,796,1427,1798,1844,1388,1033,943,1243,2078,1714,3000,1165
CLUL1,22,25,13,13,3,8,26,4,5,0,3,12,13,4,3,1
KRT81,14,35,87,35,4,0,25,67,7,1,21,5,36,66,27,45
NOC2LP1,6,7,14,8,6,6,5,2,9,1,3,4,7,11,2,7
RP13-104F24.2,297,700,411,648,124,75,402,360,483,223,199,165,367,361,381,221
DET1,192,286,266,304,90,263,352,264,234,53,125,299,226,136,160,94
ACTR1A,1362,3766,3134,3522,1211,1450,3042,2269,2312,1681,1220,855,3043,2334,2941,2093
FASTKD2,865,1241,939,1151,580,813,1608,793,822,696,616,520,777,720,836,903
RP11-668G10.2,9,24,14,39,2,2,13,25,3,11,8,4,11,15,17,10
RP4-669H2.1,19,14,10,15,5,5,8,18,15,3,0,8,11,13,7,5
SGK2,91,211,40,149,122,604,243,288,19,30,141,158,472,215,15,166
RP4-751H13.7,4,9,12,7,6,1,6,9,11,5,4,19,5,8,4,8
HIST4H4,77,225,60,116,63,36,47,93,31,47,56,93,82,62,30,16
LINC01191,4,5,6,5,3,2,16,5,0,2,10,7,7,3,9,12
AC005355.2,35,35,4,4,5,55,97,14,0,13,10,23,54,19,2,20
LRMP,2288,4366,1984,2008,804,443,1843,2178,1525,1103,873,1143,1205,1186,1475,1131
NADK2,550,957,465,738,395,549,746,684,408,283,353,493,667,822,544,461
SLC5A12,3409,1540,41,356,0,11,227,186,3,641,44,1160,3127,5,35,304
ACOT1,137,298,304,234,68,124,386,169,133,44,107,102,239,139,319,226
CIB4,1,22,0,0,16,4,6,28,3,8,9,3,0,1,0,13
DIRAS2,279,305,28,124,36,157,618,164,17,58,60,123,208,37,19,211
DHRSX,164,349,297,392,135,450,996,313,157,92,117,231,418,233,287,250
HES2,76,50,55,15,18,27,136,33,30,11,13,24,116,7,134,59
SGMS1,696,1973,1371,1454,480,746,809,890,984,688,682,561,1060,752,1420,706
PCDHA4,29,31,28,69,11,11,9,73,27,26,6,17,133,12,18,5
KIN,372,623,498,667,256,395,813,487,433,332,253,359,497,334,418,306
GOLGA6L6,5,4,9,9,2,1,17,7,6,4,4,12,8,6,2,3
VAMP7,453,988,688,987,323,362,676,638,685,372,356,314,628,478,769,409
RNF144B,2758,4611,4111,5057,1567,1997,3748,3467,2048,2094,1283,2274,1955,2760,2805,1744
KCNK17,2,9,35,2,0,2,28,19,11,3,45,3,19,12,5,2
C1orf216,167,764,637,562,235,299,281,430,397,219,207,188,457,374,429,393
MCL1,65379,101471,52254,81036,19281,18691,67122,92181,63015,43025,40840,24131,31600,31732,24884,49278
PPP4R3B,2348,4774,3806,4050,2247,2424,4973,3391,3087,2817,1982,3331,3448,2877,2685,2137
PLPPR2,319,424,346,750,180,401,330,510,662,303,224,214,561,251,328,306
COMMD2,633,1113,920,1170,462,810,1331,850,1171,438,501,521,988,523,790,605
HFM1,39,34,1,13,1,2,14,6,56,12,28,6,6,2,0,1
SMARCE1,1104,2393,1654,2172,1010,1479,2767,1465,1629,720,752,1274,1287,1048,1196,1193
RP11-673E1.1,3,6,3,1,0,6,4,11,0,0,7,0,8,2,0,5
TFR2,54,239,66,42,73,333,67,98,16,2,32,192,88,39,34,42
HP,3,823,151,167,4589,25,949,65,5,15,149,4445,592,118,385,23
SUPT5H,2619,5078,3502,4013,2101,3441,4596,4568,2734,1762,1972,2164,4301,3031,2442,3379
SAE1,865,2757,1990,2082,1136,1358,2287,1141,1423,882,864,602,1656,1718,1397,1351
DNAH10,14,9,15,14,36,10,15,11,18,8,10,8,17,15,4,5
CTD-2651B20.3,12,24,12,6,6,17,49,19,7,0,10,9,14,8,0,4
TWIST2,7,7,2,25,13,2,8,9,3,6,2,0,5,0,2,3
SULT2B1,4,21,8,3,6,9,17,11,5,0,7,27,17,8,6,10
DHRS11,89,113,97,105,42,121,200,107,98,44,46,128,102,177,56,81
NFIC,591,1391,978,1137,397,924,1223,1366,1129,574,443,683,1583,919,1064,1281
LMO2,738,1799,854,1302,208,216,997,1428,2517,1414,477,186,1304,702,1283,1187
RP11-231P20.2,18,24,2,4,0,15,19,24,2,3,8,18,23,3,1,6
TTLL11,55,78,64,86,18,46,105,60,70,60,35,35,78,54,57,53
DNAJC25,304,596,334,606,203,238,495,464,316,330,203,323,346,270,371,397
PBX2,1863,3621,2377,3170,1261,1648,2979,2601,2596,1314,1442,1864,2734,1819,1941,2067
ZBTB32,20,117,91,54,138,14,49,249,9,2,29,18,65,101,32,71
THAP5,369,584,512,871,344,450,540,510,409,454,380,491,605,334,468,453
RPS6KB1,800,1402,1019,1464,836,480,1010,1486,1188,1354,626,804,1074,765,916,945
LA16c-306E5.2,21,5,24,4,6,3,19,36,11,6,12,17,13,2,6,6
ZNF257,65,69,102,26,26,16,58,52,47,27,53,56,100,56,55,13
ATP6V0E1,3286,10431,5681,7475,3549,6258,11200,3512,2691,1747,2658,3008,5640,4761,5950,4414
SRPRA,2239,6163,4167,6112,2518,1724,4539,4164,3600,2266,2177,2167,4433,3832,3322,3382
CTD-2083E4.6,7,6,8,11,1,3,11,5,1,0,2,6,9,4,3,3
RP11-305M3.2,56,112,59,120,53,33,128,55,48,36,38,25,76,59,55,76
RP11-295D4.1,7,21,10,9,3,5,9,7,3,8,7,9,15,14,11,8
SCO1,625,1224,1116,992,426,732,1325,712,652,379,442,736,1050,698,1009,560
PPWD1,1568,2804,1739,2057,1118,1095,2422,1608,1542,696,985,986,1418,1125,1164,763
CTR9,1152,2528,2029,2208,1131,997,1715,2005,2037,1931,902,2408,2235,1468,1849,1570
LGALS3,2892,9670,11315,8883,4160,4139,9049,5913,3516,2139,6278,2888,7403,5012,12067,8467
TMEM167B,1519,2336,1631,2713,1048,1696,2652,1890,1559,1235,958,1501,1503,1244,1920,1517
PRSS53,198,185,120,237,161,236,146,173,84,40,121,156,393,150,76,59
MMP19,513,1210,4463,2067,231,584,615,6535,2346,1052,1371,485,1073,1765,2476,4379
KCTD9P4,4,7,6,9,4,3,5,6,6,7,3,11,4,3,1,1
STX4,1926,4120,2799,5361,1095,1910,4210,3426,1323,963,1350,1574,2681,2779,2973,3042
RP11-98I9.4,37,76,72,91,46,34,48,44,59,24,45,56,86,61,25,13
RECK,211,390,315,427,145,94,192,321,668,390,225,91,406,210,206,225
LINC01068,4,7,7,0,1,0,0,20,2,7,1,1,5,0,0,7
MRPL34,353,969,443,619,260,577,1119,380,300,151,214,291,810,472,575,403
SLC35F2,221,457,355,330,228,173,645,363,282,254,149,305,335,487,128,463
METTL22,379,509,450,584,162,345,627,648,299,207,298,368,397,394,356,263
SCGB1D2,7,6,0,0,0,4,42,8,1,5,0,5,17,2,0,1
NDUFA4,1994,5453,2892,3796,1855,4255,8271,2491,2118,1203,1902,2507,3132,3028,2490,2523
